name,gas,restaurants,department_store,groceries,supermarkets,wholesale,hotel,airfair,travel_other,amazon,paypal,online,miscellaneous,image,link,credit_rating
BOA Cash Rewards,3,1,1,2,2,2,1,1,1,1,1,1,1,boacashback,https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/?campaign=4025509~7F~en_US,690+
Chase Sapphire Reserved,2,2,1,1,2,1,2,2,2,1,1,1,1,chasesapphirereserved,https://creditcards.chase.com/a1/sapphire/compare?CELL=6H8X&AFFID=eI0GCae9pMA-qLDz6p6TDuK0zLIUnDt96Q&pvid=cff161f504d5457a8d4902d172b8b134&jp_cmp=cc/307156/aff/3-10002569/na,720+
Uber,1,4,1,1,1,1,3,3,1,2,1,2,1,uber,https://www.uber.com/c/uber-credit-card/,690+
Amazon Visa,2,2,1,2,1,1,1,1,1,5,1,1,1,amazonprime,https://www.amazon.com/dp/BT00LN946S/ref=PRWAT/ref=s9_acss_bw_cg_DWAT_2a1_w?_encoding=UTF8&plattr=PrimeRewards&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=5ZS7AK7S4DM8Q6929N8T&pf_rd_t=101&pf_rd_p=75cf311e-7601-4f81-8c27-5f345a4005be&pf_rd_i=16914437011,690+
Wells Fargo Cash Wise ,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1.5,1.5,wellsfargo,https://creditcards.wf.com/cash-wise-visa-card?product_code=CC&subproduct_code=CW&vendor_code=LS&sub_channel=AFF&siteID=SWlnSnn6x54-y.3vmHkqnC5f6BBEEowOQA&QNRV1=TESV1NE&RYTG3=CWVGR,690+
Amex Blue Cash Preferred ,3,1,3,6,6,1,1,1,1,1,1,1,1,bluecashpreferred,"https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/?eep=26129&extlink=af-us-ccsg-BCPLM&irgwc=1&veid=U09x7JXdjR5OyqC3R92bg221Ukj3AUXe0zYHXo0&affid=1193684&pid=IR&affname=NerdWallet,%20Inc&sid=14011830016&pmc=796&BUID=CCG&CRTV=controlaffcps",690+
Capital One QuicksilverOne,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1,1.5,1.5,quicksilverone,https://applynow.capitalone.com/?irgwc=1&external_id=IRAFF_ZZ1e82abb5adad42668d0e751a2a2b3a24_USCIR_K170911_A344893L_C803d1ee9N5381879c5a3e34fc001ab6f_S&productId=2867&IARC=AFF,690+
Capital One Savor ,1,3,1,2,1,1,1,1,1,1,1,1,1,savor,https://www.capitalone.com/credit-cards/savor-dining-rewards/,690+
Discover it,1,1,1,1,1,1,1,1,1,1,1,1,1,discoverit,https://www.discovercard.com/application/displayLanding?pageFileId=double-listingsite&sc=KXH8&cmpgnid=ls-dca-cj-consumer-it-KXH8-dtop-980&aid=13216092&pid=3842381&sid=29c5b2f0e335403c8d62b87ec31f308f,690+
Chase Freedom,1,1,1,1,1,1,1,1,1,1,5,1,1,chasefreedom,https://creditcards.chase.com/a1/freedom/apply150?CELL=6H8X&AFFID=SWlnSnn6x54-xee2ib9tBDpHOLznhF.vkg&pvid=b5915e2cac0e4ca8a117ce1e9bd663e0&jp_cmp=cc/577614/aff/15-31376/na,690+
Capital One Venture,2,2,2,2,2,2,10,2,2,2,1,2,2,venture,https://www.capitalone.com/credit-cards/venture/,690+
Delta Gold Amex,1,1,1,1,1,1,1,2,1,1,1,1,1,deltaskymiles,https://www.delta.com/content/www/en_US/skymiles/airline-credit-cards.html,690+
Blue Cash Everyday Amex,2,1,2,3,3,3,1,1,1,1,1,1,1,bluecasheveryday,https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/,690+
