Trans. Date,Post Date,Description,Amount,Category
1/6/17,1/6/17,APL* ITUNES.COM/BILL 866-712-7753 CA200UK47D MXJB6D7JGV-0,0.99,Merchandise
1/7/17,1/7/17,GOOGLE *GOOGLE PLAY G.CO/PAYHELP#CAP0CG8N1A,4.37,Services
1/11/17,1/11/17,SPOTIFY NEW YORK CITYNY,5.46,Merchandise
1/11/17,1/11/17,VISTA HIGHER LEARNING 800-269-6311 MA,160,Merchandise
1/14/17,1/14/17,AMAZON MKTPLACE PMTS AMAZON MKTPLAWA6LHQ6QS1VLC,13.39,Merchandise
1/17/17,1/17/17,GA INST TECH PAYPATH 913-599-6699 KS,600,Education
1/17/17,1/17/17,PAYPATH S FEE GA TECH 913-599-6699 KS,16.5,Education
1/20/17,1/21/17,GA TECH ONLINE ORDER ATLANTA GA,159,Education
1/21/17,1/21/17,APL* ITUNES.COM/BILL 866-712-7753 CA200UY8BK MXJB8LNG23-0,5.47,Merchandise
1/29/17,1/29/17,GA TECH BUZZCARD WEB 877-6724228 GA,5,Education
1/29/17,1/29/17,INTERNET PAYMENT - THANK YOU,-35,Payments and Credits
2/4/17,2/4/17,PARCHMENT - UNIV DOCS 480-719-1646 AZ20401844427,7,Services
2/6/17,2/6/17,APL* ITUNES.COM/BILL 866-712-7753 CA200VCZL7 MXJBT29BYX-0,0.99,Merchandise
2/11/17,2/11/17,SPOTIFY NEW YORK CITYNY,5.46,Merchandise
2/12/17,2/12/17,APL* ITUNES.COM/BILL 866-712-7753 CA200VITOR MXJBX3JHG4-0,5.47,Merchandise
2/17/17,2/17/17,PUBLIX #1061 ATLANTA GA,21.22,Supermarkets
2/19/17,2/21/17,GA TECH VTS BUZZCARD ATLANTA GA,10,Education
2/20/17,2/20/17,INTEREST CHARGE ON PURCHASES,12.59,Interest
2/21/17,2/21/17,INTERNET PAYMENT - THANK YOU,-500,Payments and Credits
3/1/17,3/1/17,AMAZON.COM AMAZON.COM WA5PXRA6VNA5Q,37.4,Merchandise
3/1/17,3/1/17,GA TECH BUZZCARD WEB 877-6724228 GA,5,Education
3/1/17,3/1/17,GA TECH POST OFFICE ATLANTA GA,6.65,Government Services
3/4/17,3/4/17,TAXBACK.COM 312-781-2700 IL,41.9,Services
3/6/17,3/6/17,APL* ITUNES.COM/BILL 866-712-7753 CA200W54EW MXJD8Q6MV3-0,0.99,Merchandise
3/11/17,3/11/17,SPOTIFY NEW YORK CITYNY,5.46,Merchandise
3/12/17,3/12/17,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAY9N1FY6V49N,14.99,Merchandise
3/13/17,3/13/17,AMAZONPRIME MEMBERSHIP AMZN.COM/PRMEWAUOJ5PWK00N1,53.7,Merchandise
3/13/17,3/13/17,GA TECH POST OFFICE ATLANTA GA,13.3,Government Services
3/16/17,3/16/17,LAUGHING SKULL LOUNGE 8775233288 GA,30.7,Restaurants
3/17/17,3/17/17,GORDON BIERSCH MIDTOWN A ATLANTA GA,20,Restaurants
3/20/17,3/20/17,INTEREST CHARGE ON PURCHASES,7.16,Interest
3/22/17,3/22/17,APL* ITUNES.COM/BILL 866-712-7753 CA200WKK3Y MXJDF52LK0-0,5.47,Merchandise
3/22/17,3/22/17,AUNT FANNY'S CART SAN FRANCISCOCA,4.75,Restaurants
