date,amount,category
11/25/2018,7.2,groceries
8/1/2018,310.6,groceries
4/28/2018,726.94,airfare
10/23/2018,73.06,travel_other
7/28/2018,98.4,supermarkets
8/5/2018,262.98,airfare
1/6/2018,4.8,gas
1/11/2018,7.69,groceries
4/24/2018,79.33,hotel
2/19/2018,213.97,airfare
12/24/2018,6.31,paypal
2/7/2018,122.68,restaurants
7/1/2018,56.83,gas
10/12/2018,4.56,miscellaneous
11/14/2018,7.75,departmental_store
1/6/2018,3.7,restaurants
10/12/2018,98.05,groceries
10/3/2018,449.01,restaurants
5/21/2018,69.76,departmental_store
11/29/2018,9.26,restaurants
5/16/2018,25.75,wholesale_clubs
10/7/2018,68.05,hotel
2/13/2018,772.27,online
2/25/2018,253.28,gas
4/23/2018,713.83,miscellaneous
4/29/2018,37.87,amazon
6/10/2018,2.97,amazon
7/1/2018,9.4,wholesale_clubs
12/5/2018,6.35,miscellaneous
11/2/2018,67.31,departmental_store
10/2/2018,131.93,airfare
6/22/2018,181.73,supermarkets
3/18/2018,2.9,online
1/16/2018,63.1,airfare
5/6/2018,509.52,airfare
9/25/2018,64.78,amazon
7/17/2018,4.53,amazon
8/30/2018,961.42,paypal
10/21/2018,7.73,groceries
8/22/2018,689.61,travel_other
2/9/2018,22.42,groceries
8/24/2018,358.48,groceries
10/18/2018,9.22,restaurants
5/10/2018,0.2,miscellaneous
4/3/2018,8.11,supermarkets
11/11/2018,4.76,hotel
9/8/2018,89.82,departmental_store
1/11/2018,55.09,travel_other
10/20/2018,9.49,amazon
9/26/2018,62.83,paypal
4/6/2018,16.03,paypal
11/1/2018,6.93,miscellaneous
2/4/2018,537.07,travel_other
9/24/2018,99.42,restaurants
9/28/2018,835.52,paypal
7/7/2018,0.25,groceries
8/9/2018,6.72,miscellaneous
7/19/2018,6.14,miscellaneous
7/25/2018,14.98,departmental_store
3/8/2018,40.97,online
11/11/2018,7,restaurants
11/21/2018,55.15,departmental_store
6/13/2018,36.87,gas
9/13/2018,4.73,amazon
1/26/2018,60.95,supermarkets
3/27/2018,46.39,miscellaneous
2/21/2018,9.03,paypal
4/11/2018,409.14,supermarkets
8/10/2018,914.55,groceries
9/20/2018,22.45,amazon
7/26/2018,8.36,groceries
9/5/2018,965.83,groceries
1/1/2018,715.82,amazon
1/17/2018,254.15,amazon
5/14/2018,2.17,online
12/20/2018,434.18,amazon
1/9/2018,7.94,miscellaneous
10/16/2018,5.14,restaurants
6/12/2018,508.19,amazon
8/8/2018,2.43,groceries
